,Id,Date,Calories,Steps,VeryActiveMinutes,LightlyActiveMinutes,FairlyActiveMinutes,SedentaryMinutes,VeryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,SedentaryActiveDistance,TotalTimeInBed,TotalMinutesAsleep,TotalSleepRecords
0,1503960366,2016-04-12,1985,13162,25,328,13,728,1.879999995,6.059999943,0.550000012,0.0,346.0,327.0,1.0
1,1503960366,2016-04-13,1797,10735,21,217,19,776,1.570000052,4.710000038,0.689999998,0.0,407.0,384.0,2.0
2,1503960366,2016-04-14,1776,10460,30,181,11,1218,2.440000057,3.910000086,0.400000006,0.0,,,
3,1503960366,2016-04-15,1745,9762,29,209,34,726,2.140000105,2.829999924,1.25999999,0.0,442.0,412.0,1.0
4,1503960366,2016-04-16,1863,12669,36,221,10,773,2.710000038,5.039999962,0.409999996,0.0,367.0,340.0,2.0
5,1503960366,2016-04-17,1728,9705,38,164,20,539,3.190000057,2.50999999,0.779999971,0.0,712.0,700.0,1.0
6,1503960366,2016-04-18,1921,13019,42,233,16,1149,3.25,4.710000038,0.639999986,0.0,,,
7,1503960366,2016-04-19,2035,15506,50,264,31,775,3.529999971,5.03000021,1.320000052,0.0,320.0,304.0,1.0
8,1503960366,2016-04-20,1786,10544,28,205,12,818,1.960000038,4.239999771,0.479999989,0.0,377.0,360.0,1.0
9,1503960366,2016-04-21,1775,9819,19,211,8,838,1.340000033,4.650000095,0.349999994,0.0,364.0,325.0,1.0
10,1503960366,2016-04-22,1827,12764,66,130,27,1217,4.760000229,2.24000001,1.120000005,0.0,,,
11,1503960366,2016-04-23,1949,14371,41,262,21,732,2.809999943,5.360000134,0.870000005,0.0,384.0,361.0,1.0
12,1503960366,2016-04-24,1788,10039,39,238,5,709,2.920000076,3.279999971,0.209999993,0.0,449.0,430.0,1.0
13,1503960366,2016-04-25,2013,15355,73,216,14,814,5.289999962,3.940000057,0.569999993,0.0,323.0,277.0,1.0
14,1503960366,2016-04-26,1970,13755,31,279,23,833,2.329999924,5.539999962,0.920000017,0.0,274.0,245.0,1.0
15,1503960366,2016-04-27,2159,18134,78,243,11,1108,6.400000095,5.409999847,0.409999996,0.0,,,
16,1503960366,2016-04-28,1898,13154,48,189,28,782,3.539999962,3.789999962,1.159999967,0.0,393.0,366.0,1.0
17,1503960366,2016-04-29,1837,11181,16,243,12,815,1.059999943,5.579999924,0.5,0.0,354.0,341.0,1.0
18,1503960366,2016-04-30,1947,14673,52,217,34,712,3.559999943,4.269999981,1.419999957,0.0,425.0,404.0,1.0
19,1503960366,2016-05-01,1820,10602,33,246,35,730,2.289999962,2.920000076,1.600000024,0.0,396.0,369.0,1.0
20,1503960366,2016-05-02,2004,14727,41,277,15,798,3.210000038,5.920000076,0.569999993,0.0,309.0,277.0,1.0
21,1503960366,2016-05-03,1990,15103,50,254,24,816,3.730000019,4.880000114,1.049999952,0.0,296.0,273.0,1.0
22,1503960366,2016-05-04,1819,11100,36,203,22,1179,2.460000038,3.819999933,0.870000005,0.0,,,
23,1503960366,2016-05-05,1959,14070,45,250,24,857,2.920000076,4.880000114,1.080000043,0.0,264.0,247.0,1.0
24,1503960366,2016-05-06,1896,12159,24,289,6,754,1.970000029,5.809999943,0.25,0.0,367.0,334.0,1.0
25,1503960366,2016-05-07,1821,11992,37,175,46,833,2.460000038,3.130000114,2.119999886,0.0,349.0,331.0,1.0
26,1503960366,2016-05-08,1740,10060,44,203,8,574,3.529999971,2.730000019,0.319999993,0.0,611.0,594.0,1.0
27,1503960366,2016-05-09,1819,12022,46,206,11,835,3.450000048,3.74000001,0.529999971,0.0,342.0,338.0,1.0
28,1503960366,2016-05-10,1859,12207,46,214,31,746,3.349999905,3.25999999,1.159999967,0.0,403.0,383.0,1.0
29,1503960366,2016-05-11,1783,12770,36,251,23,669,2.559999943,4.550000191,1.00999999,0.0,306.0,285.0,1.0
30,1503960366,2016-05-12,0,0,0,0,0,1440,0.0,0.0,0.0,0.0,,,
31,1624580081,2016-04-12,1432,8163,0,146,0,1294,0.0,5.309999943,0.0,0.0,,,
32,1624580081,2016-04-13,1411,7007,0,148,0,1292,0.0,4.550000191,0.0,0.0,,,
33,1624580081,2016-04-14,1572,9107,0,236,0,1204,0.0,5.909999847,0.0,0.01,,,
34,1624580081,2016-04-15,1344,1510,0,96,0,1344,0.0,0.970000029,0.0,0.0,,,
35,1624580081,2016-04-16,1463,5370,0,176,0,1264,0.0,3.49000001,0.0,0.0,,,
36,1624580081,2016-04-17,1554,6175,15,127,22,1276,1.029999971,1.49000001,1.519999981,0.01,,,
37,1624580081,2016-04-18,1604,10536,17,202,7,1214,2.150000095,4.619999886,0.620000005,0.01,,,
38,1624580081,2016-04-19,1435,2916,0,141,0,1299,0.0,1.899999976,0.0,0.0,,,
39,1624580081,2016-04-20,1446,4974,0,151,0,1289,0.0,3.230000019,0.0,0.0,,,
40,1624580081,2016-04-21,1467,6349,0,186,0,1254,0.0,4.110000134,0.0,0.02,,,
41,1624580081,2016-04-22,1470,4026,0,199,0,1241,0.0,2.599999905,0.0,0.0,,,
42,1624580081,2016-04-23,1562,8538,0,227,0,1213,0.0,5.539999962,0.0,0.01,,,
